work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,EN,FT,Cyber Program Manager,63000,US,50,US,S
2022,MI,FT,Security Analyst,95000,US,0,US,M
2022,MI,FT,Security Analyst,70000,US,0,US,M
2022,MI,FT,IT Security Analyst,48853,BR,50,BR,L
2022,EN,CT,Cyber Security Analyst,120000,BW,100,BW,S
2022,EX,FT,Application Security Architect,315000,US,100,US,L
2022,SE,FT,Security Researcher,220000,US,100,US,M
2022,SE,FT,Security Researcher,140000,US,100,US,M
2021,MI,FT,Information Security Compliance Analyst,75650,GB,50,GB,L
2022,EX,FT,Information Security Compliance Manager,360000,TW,100,SG,L
2021,EN,FT,Security Specialist,50000,US,0,US,S
2022,SE,FT,Application Security Specialist,85000,US,100,US,L
2022,MI,FT,Cyber Security Consultant,90000,US,100,US,L
2022,EN,FT,Security Specialist,50000,US,0,US,S
2022,EX,FT,Head of Information Security,290000,US,100,US,L
2021,EX,FT,Head of Information Security,232000,US,100,US,L
2022,EX,FT,Head of Information Security,244000,US,100,US,L
2022,EN,FT,Security Incident Response Engineer,112000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,72000,US,100,US,L
2022,SE,FT,Ethical Hacker,64955,NL,50,NL,M
2020,EN,FT,Cyber Security Analyst,6072,IN,50,IN,L
2021,MI,FT,Cyber Security Consultant,53192,NL,100,NL,L
2022,EX,FT,Chief Information Security Officer,118002,DE,100,DE,M
2022,MI,FT,DevSecOps Engineer,152000,US,0,US,M
2022,MI,FT,DevSecOps Engineer,91000,US,0,US,M
2022,SE,FT,IT Security Manager,129910,DE,50,DE,L
2022,MI,FT,Application Security Engineer,207000,US,100,US,L
2022,EX,FT,Chief Information Security Officer,300000,AE,50,AE,L
2022,MI,FT,Vulnerability Analyst,115000,US,100,US,L
2022,SE,FT,Cyber Security Engineer,99397,CA,100,CA,L
2022,EN,FT,Information Security Analyst,52000,US,100,US,L
2022,SE,FT,Principal Application Security Engineer,237000,US,100,US,L
2021,EN,FT,Cyber Security Architect,150000,US,50,US,M
2022,SE,FT,Information Security Manager,110000,US,0,US,L
2022,EN,FT,SOC Analyst,104000,US,100,US,L
2021,EN,FT,SOC Analyst,75000,US,0,US,M
2022,SE,FT,DevSecOps Engineer,165000,US,100,US,L
2022,SE,FT,Penetration Tester,190000,US,100,US,L
2022,SE,FT,Cyber Threat Intelligence Analyst,135000,US,100,US,L
2022,MI,FT,Cloud Security Engineer,117676,CA,100,CA,L
2022,MI,FT,Information Security Officer,97900,US,50,US,L
2022,SE,FT,IT Security Analyst,90000,US,100,US,S
2021,SE,FT,Security Consultant,175000,US,100,US,L
2022,MI,FT,Cyber Security Analyst,89998,US,0,US,L
2022,MI,FT,Information Security Specialist,150000,US,100,US,L
2022,MI,FT,Security Analyst,115000,US,100,US,L
2022,MI,FT,Information Security Officer,135000,US,50,US,L
2022,EX,FT,Information Security Manager,102000,US,50,US,L
2022,SE,FT,Penetration Tester,108000,US,100,US,L
2022,SE,FT,Cyber Security Consultant,200000,US,100,US,M
2022,EN,FT,SOC Analyst,89676,CH,50,CH,L
2022,EN,FT,Cyber Security Analyst,50000,US,0,US,S
2022,SE,FT,DevSecOps Engineer,157000,US,0,US,M
2022,SE,FT,DevSecOps Engineer,108000,US,0,US,M
2022,EX,FT,Director of Information Security,148000,US,0,US,L
2022,MI,FT,Security Engineer,130000,US,0,US,M
2022,MI,FT,Security Engineer,120000,US,0,US,M
2022,MI,FT,Information Security Compliance Lead,65475,DK,50,DK,L
2022,SE,FT,Threat Hunter,150000,US,100,CH,L
2022,EN,FT,Cloud Security Engineer,6522,IN,100,IN,L
2022,SE,FT,Threat Intelligence Analyst,184800,US,100,US,M
2022,SE,FT,Threat Intelligence Analyst,130800,US,100,US,M
2022,MI,FT,DevSecOps Engineer,102646,GB,100,GB,M
2022,MI,FT,DevSecOps Engineer,76985,GB,100,GB,M
2022,MI,FT,Security Analyst,114000,US,0,US,L
2022,SE,FT,Security Engineer,207000,US,100,US,M
2022,SE,FT,Security Engineer,153000,US,100,US,M
2022,SE,FT,Security Incident Response Engineer,245000,US,100,US,L
2022,SE,FT,IT Security Analyst,98000,US,50,US,L
2022,SE,FT,Security Engineer,220100,US,100,US,M
2022,SE,FT,Security Engineer,176080,US,100,US,M
2022,SE,FT,Security Engineer,226400,US,100,US,L
2022,SE,FT,Security Engineer,124300,US,100,US,L
2022,SE,FT,IT Security Engineer,145000,US,100,US,L
2022,EX,FT,Cloud Security Engineering Manager,50000,CL,100,CL,M
2022,EN,FT,Application Security Analyst,54129,CH,50,CH,M
2022,EN,FT,Data Security Analyst,50000,US,100,US,L
2022,EN,FT,Data Security Analyst,50000,US,100,US,L
2022,MI,FT,Detection Engineer,43303,ES,50,ES,L
2022,SE,FT,Security Specialist,238200,US,100,US,L
2022,SE,FT,Security Specialist,176100,US,100,US,L
2022,SE,FT,Security Engineer,181940,US,100,US,M
2022,SE,FT,Security Engineer,132000,US,100,US,M
2022,SE,FT,Security Engineer,186000,US,100,US,M
2022,SE,FT,Security Engineer,148800,US,100,US,M
2022,SE,FT,Detection Engineer,252000,US,100,US,M
2022,SE,FT,Detection Engineer,145000,US,100,US,M
2022,EX,FT,Chief Information Security Officer,236000,US,100,US,L
2021,EN,FT,Cyber Security Analyst,8929,SG,0,SG,M
2022,SE,FT,Principal Security Engineer,167000,US,100,US,M
2022,EX,FT,Head of Information Security,175000,US,100,US,M
2022,EN,FT,IT Security Analyst,50002,AU,50,AU,L
2022,MI,FT,Information Systems Security Engineer,86500,US,50,US,L
2022,MI,FT,Staff Application Security Engineer,129910,FR,50,FR,L
2022,SE,FT,Security Engineer,200100,US,100,US,M
2022,SE,FT,Security Engineer,160080,US,100,US,M
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,132320,US,100,US,M
2022,SE,FT,Security Specialist,207800,US,100,US,L
2022,SE,FT,Security Specialist,153600,US,100,US,L
2021,EN,FT,Information Security Engineer,29551,IT,100,IT,S
2021,MI,FT,Information Security Analyst,88000,US,100,US,L
2022,EX,FT,Information Security Compliance Manager,180000,US,100,US,L
2022,SE,FT,Security Engineer,210000,CA,100,CA,M
2022,SE,FT,Security Engineer,160000,CA,100,CA,M
2022,SE,FT,Vulnerability Management Engineer,250600,US,100,US,M
2022,SE,FT,Vulnerability Management Engineer,118100,US,100,US,M
2022,SE,FT,Security Engineer,105800,US,100,US,M
2022,SE,FT,Security Engineer,81600,US,100,US,M
2022,EN,FT,Security Analyst,140000,US,100,US,L
2022,SE,FT,Information Security Officer,267840,US,100,US,M
2022,SE,FT,Information Security Officer,214056,US,100,US,M
2022,SE,FT,Security Researcher,188282,CA,100,US,L
2022,MI,FT,Head of Information Security,137290,GB,100,GB,M
2022,MI,FT,Head of Information Security,118043,GB,100,GB,M
2022,EN,CT,Cyber Security Analyst,80000,US,100,US,L
2022,EN,CT,Cyber Security Analyst,60000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,60000,US,100,US,L
2022,EN,FT,Azure Security Engineer,60000,US,100,US,L
2022,EN,FT,Azure Security Engineer,60000,US,100,US,S
2021,EN,FT,Cyber Security Analyst,115000,US,100,US,M
2021,EN,FT,Security Consultant,10142,IN,50,IN,L
2022,MI,FT,Security Operations Analyst,102646,GB,100,GB,M
2022,MI,FT,Security Operations Analyst,70569,GB,100,GB,M
2022,MI,FT,Security Engineer,170000,AU,0,AU,M
2022,MI,FT,Security Engineer,140000,AU,0,AU,M
2022,SE,FT,Cyber Security Engineer,175000,US,0,US,S
2022,EX,FT,Director of Information Security,180000,US,100,US,L
2022,MI,FT,Information Security Engineer,101000,US,100,US,L
2022,MI,FT,IT Security Engineer,101000,US,100,US,L
2022,SE,FT,DevOps Security Engineer,175000,US,100,US,L
2022,MI,FT,Cyber Security Analyst,97500,US,100,US,L
2022,EN,FT,Cyber Security Analyst,67000,US,100,US,L
2022,SE,FT,Security Engineer,124600,US,100,US,M
2022,SE,FT,Security Engineer,96000,US,100,US,M
2022,SE,FT,Detection Engineer,292000,GB,100,GB,M
2022,SE,FT,Detection Engineer,170000,GB,100,GB,M
2022,MI,FT,Security Engineer,160000,AU,0,AU,M
2022,MI,FT,Security Engineer,140000,AU,0,AU,M
2022,SE,FT,Penetration Tester,180000,US,100,US,M
2022,SE,FT,Penetration Tester,140000,US,100,US,M
2022,SE,FT,Security Engineer,245000,US,0,US,M
2022,SE,FT,Security Engineer,190000,US,0,US,M
2022,SE,FT,Security Engineer,226400,US,100,US,L
2022,SE,FT,Security Engineer,124300,US,100,US,L
2022,EN,FT,Security Analyst,49424,CA,100,CA,S
2022,EN,FT,SOC Analyst,91600,US,100,US,L
2022,MI,FT,Cloud Security Engineer,165000,US,50,US,L
2022,SE,FT,Security Specialist,160000,US,100,US,L
2022,SE,FT,Security Specialist,92400,US,100,US,L
2022,SE,FT,Threat Intelligence Analyst,103000,US,100,US,L
2022,SE,FT,Security Engineer,154000,US,100,US,M
2022,SE,FT,Security Engineer,139000,US,100,US,M
2022,EX,FT,Security Officer,160000,US,100,US,M
2022,EX,FT,Security Officer,120000,US,100,US,M
2022,MI,FT,Penetration Tester,64154,GB,50,GB,M
2022,SE,FT,Security Engineer,82900,US,100,US,M
2022,SE,FT,Security Engineer,63900,US,100,US,M
2022,EN,FT,SOC Analyst,75000,US,100,US,L
2022,EN,FT,SOC Analyst,75000,US,100,US,L
2022,MI,FT,Security Analyst,89000,US,0,US,L
2022,MI,FT,Security Analyst,68462,US,0,US,L
2022,MI,FT,Security Engineer,72500,US,100,JP,L
2022,SE,FT,Security Engineer,276900,US,100,US,M
2022,SE,FT,Security Engineer,168400,US,100,US,M
2022,SE,FT,Security Engineer,105800,US,0,US,M
2022,SE,FT,Security Engineer,81600,US,0,US,M
2022,SE,FT,Security Specialist,177600,US,100,US,L
2022,SE,FT,Security Specialist,131300,US,100,US,L
2022,SE,FT,Security Engineer,120000,US,100,US,M
2022,SE,FT,Security Engineer,90000,US,100,US,M
2022,MI,FT,Security Engineer,145000,US,100,US,M
2022,MI,FT,Security Engineer,105400,US,100,US,M
2022,SE,FT,Security Engineer,220000,US,0,US,M
2022,SE,FT,Security Engineer,140000,US,0,US,M
2022,SE,FT,Security Engineer,175000,US,100,US,M
2022,SE,FT,Security Engineer,130000,US,100,US,M
2022,EN,PT,Security Consultant,21651,DE,100,DE,M
2022,SE,FT,Application Security Engineer,60000,PK,100,US,M
2022,EN,PT,Penetration Tester,80000,IN,100,US,L
2022,MI,FT,Detection Engineer,200100,US,100,US,M
2022,MI,FT,Detection Engineer,160080,US,100,US,M
2022,MI,FT,Security Consultant,135000,US,100,US,M
2022,MI,FT,Security Consultant,100000,US,100,US,M
2022,SE,FT,Security Engineer,195000,US,100,US,M
2022,SE,FT,Security Engineer,170000,US,100,US,M
2022,MI,FT,Security Engineer,108070,US,100,US,M
2022,MI,FT,Security Engineer,91860,US,100,US,M
2022,SE,FT,Security Specialist,207800,US,100,US,L
2022,SE,FT,Security Specialist,153600,US,100,US,L
2022,MI,FT,Security Analyst,102600,US,100,US,M
2022,MI,FT,Security Analyst,82080,US,100,US,M
2022,MI,FT,Security Engineer,160000,US,0,US,M
2022,MI,FT,Security Engineer,110000,US,0,US,M
2022,MI,FT,Security Engineer,151562,FR,100,FR,M
2022,MI,FT,Security Engineer,108258,FR,100,FR,M
2022,MI,FT,IT Security Manager,129910,FR,100,FR,M
2022,MI,FT,IT Security Manager,86607,FR,100,FR,M
2022,MI,FT,Security Engineer,194866,US,100,US,M
2022,MI,FT,Security Engineer,151562,US,100,US,M
2022,EX,FT,Information Security Officer,259821,US,100,US,M
2022,EX,FT,Information Security Officer,194866,US,100,US,M
2022,MI,FT,DevSecOps Engineer,152000,US,0,US,M
2022,MI,FT,DevSecOps Engineer,91000,US,0,US,M
2022,MI,FT,Detection Engineer,200100,US,100,US,M
2022,MI,FT,Detection Engineer,160080,US,100,US,M
2022,MI,FT,Security Analyst,193800,US,100,US,M
2022,MI,FT,Security Analyst,62000,US,100,US,M
2022,SE,FT,Security Engineer,160000,US,100,US,L
2022,SE,FT,Security Engineer,120000,US,100,US,L
2022,SE,FT,Security Engineer,192400,US,100,US,M
2022,SE,FT,Security Engineer,90700,US,100,US,M
2022,SE,FT,Security Analyst,150260,US,100,US,M
2022,SE,FT,Security Analyst,109280,US,100,US,M
2022,SE,FT,Penetration Tester,175000,US,0,US,M
2022,SE,FT,Penetration Tester,90000,US,0,US,M
2022,SE,FT,Security Engineer,200100,US,100,US,M
2022,SE,FT,Security Engineer,160080,US,100,US,M
2022,SE,FT,Security DevOps Engineer,130200,US,100,US,M
2022,SE,FT,Security DevOps Engineer,106500,US,100,US,M
2022,SE,FT,Security Specialist,146800,US,100,US,M
2022,SE,FT,Security Specialist,118200,US,100,US,M
2022,SE,FT,Security Engineer,165200,US,100,US,M
2022,SE,FT,Security Engineer,133000,US,100,US,M
2022,SE,FT,Security Engineer,165200,US,100,US,M
2022,SE,FT,Security Engineer,133000,US,100,US,M
2022,SE,FT,Security Engineer,146800,US,100,US,M
2022,SE,FT,Security Engineer,118200,US,100,US,M
2022,SE,FT,Security Engineer,115700,US,100,US,M
2022,SE,FT,Security Engineer,94700,US,100,US,M
2022,MI,FT,Security Analyst,60000,US,100,US,M
2022,MI,FT,Security Analyst,50000,US,100,US,M
2022,SE,FT,Security Engineer,210000,CA,0,CA,M
2022,SE,FT,Security Engineer,160000,CA,0,CA,M
2022,SE,FT,Security Analyst,144200,US,0,US,M
2022,SE,FT,Security Analyst,132870,US,0,US,M
2022,SE,FT,Security Engineer,175000,US,0,US,M
2022,SE,FT,Security Engineer,120000,US,0,US,M
2022,SE,FT,Penetration Tester,180000,US,100,US,M
2022,SE,FT,Penetration Tester,80000,US,100,US,M
2022,MI,FT,Security DevOps Engineer,91670,US,0,US,L
2022,MI,FT,Security DevOps Engineer,63500,US,0,US,L
2022,SE,FT,Information Security Manager,180000,US,0,US,M
2022,SE,FT,Information Security Manager,90000,US,0,US,M
2022,EN,FT,Penetration Tester,43303,GR,0,GR,M
2022,EN,FT,Penetration Tester,27064,GR,0,GR,M
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,132320,US,100,US,M
2022,SE,FT,Security Engineer,184800,US,100,US,M
2022,SE,FT,Security Engineer,148800,US,100,US,M
2022,SE,FT,Penetration Tester,207500,CA,100,CA,M
2022,SE,FT,Penetration Tester,125000,CA,100,CA,M
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,132320,US,100,US,M
2022,MI,FT,Security Engineer,145000,US,100,US,M
2022,MI,FT,Security Engineer,118600,US,100,US,M
2022,MI,FT,DevSecOps Engineer,152000,US,0,US,M
2022,MI,FT,DevSecOps Engineer,91000,US,0,US,M
2022,SE,FT,Security Engineer,210000,CA,0,CA,M
2022,SE,FT,Security Engineer,160000,CA,0,CA,M
2022,SE,FT,DevSecOps Engineer,157000,US,0,US,M
2022,SE,FT,DevSecOps Engineer,108000,US,0,US,M
2022,SE,FT,Security Consultant,175000,US,100,US,M
2022,SE,FT,Security Consultant,90000,US,100,US,M
2022,MI,FT,Security Consultant,102646,GB,100,GB,M
2022,MI,FT,Security Consultant,83400,GB,100,GB,M
2022,SE,FT,Security Engineer,220000,US,100,US,M
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,184800,US,100,US,M
2022,SE,FT,Security Engineer,148800,US,100,US,M
2022,SE,FT,Security Engineer,145000,US,100,US,M
2022,SE,FT,Security Engineer,118600,US,100,US,M
2022,SE,FT,Security Engineer,165400,US,0,US,M
2022,SE,FT,Security Engineer,132320,US,0,US,M
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,132320,US,100,US,M
2022,SE,FT,Security Engineer,160000,US,100,US,M
2022,SE,FT,Security Engineer,130000,US,100,US,M
2022,MI,FT,Vulnerability Analyst,115000,US,100,US,M
2022,MI,FT,Vulnerability Analyst,100000,US,100,US,M
2022,SE,FT,Security Engineer,131500,US,100,US,M
2022,SE,FT,Security Engineer,111775,US,100,US,M
2022,SE,FT,Security Engineer,221500,US,100,US,M
2022,SE,FT,Security Engineer,104400,US,100,US,M
2022,SE,FT,Security Engineer,210000,US,0,US,M
2022,SE,FT,Security Engineer,160000,US,0,US,M
2022,MI,FT,Security Engineer,140000,US,100,US,S
2022,MI,FT,Security Engineer,90000,US,100,US,S
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,132320,US,100,US,M
2022,MI,FT,Security Analyst,60000,US,100,US,M
2022,MI,FT,Security Analyst,50000,US,100,US,M
2022,SE,FT,Information Security Officer,267840,US,100,US,M
2022,SE,FT,Information Security Officer,214056,US,100,US,M
2022,SE,FT,Security Engineer,201000,US,100,US,M
2022,SE,FT,Security Engineer,160080,US,100,US,M
2022,MI,FT,Security Engineer,172000,US,0,US,M
2022,MI,FT,Security Engineer,87000,US,0,US,M
2022,MI,FT,Security Engineer,141300,US,0,US,M
2022,MI,FT,Security Engineer,102100,US,0,US,M
2022,MI,FT,Security Engineer,141300,US,0,US,M
2022,MI,FT,Security Engineer,88100,US,0,US,M
2022,SE,FT,Security DevOps Engineer,120000,US,100,US,M
2022,SE,FT,Security DevOps Engineer,30000,US,100,US,M
2022,SE,FT,Cyber Threat Intelligence Analyst,222500,US,100,US,M
2022,SE,FT,Cyber Threat Intelligence Analyst,135000,US,100,US,M
2022,EX,FT,Information Security Officer,300000,US,100,US,M
2022,EX,FT,Information Security Officer,250000,US,100,US,M
2022,SE,FT,Security Engineer,210000,CA,0,CA,M
2022,SE,FT,Security Engineer,160000,CA,0,CA,M
2022,SE,FT,Security Analyst,168400,US,100,US,M
2022,SE,FT,Security Analyst,148000,US,100,US,M
2022,SE,FT,Security Engineer,165400,US,100,US,M
2022,SE,FT,Security Engineer,132320,US,100,US,M
2022,SE,FT,Security Engineer,200100,US,100,US,M
2022,SE,FT,Security Engineer,160080,US,100,US,M
2022,SE,FT,Security Engineer,220100,US,100,US,M
2022,SE,FT,Security Engineer,176080,US,100,US,M
2022,SE,FT,Security Engineer,179632,GB,0,GB,M
2022,SE,FT,Security Engineer,153970,GB,0,GB,M
2022,MI,FT,Security Analyst,65000,US,100,US,M
2022,MI,FT,Security Analyst,55000,US,100,US,M
2022,SE,FT,Security Engineer,230000,US,0,US,M
2022,SE,FT,Security Engineer,190000,US,0,US,M
2022,SE,FT,Security Engineer,182750,US,100,US,M
2022,SE,FT,Security Engineer,153000,US,100,US,M
2022,MI,FT,Security Engineer,210000,US,100,US,M
2022,MI,FT,Security Engineer,140000,US,100,US,M
2022,SE,FT,Security Engineer,207000,US,100,US,M
2022,SE,FT,Security Engineer,153000,US,100,US,M
2022,MI,FT,Security Engineer,182000,US,100,US,M
2022,MI,FT,Security Engineer,153000,US,100,US,M
2022,SE,FT,Security Engineer,220100,US,100,US,M
2022,SE,FT,Security Engineer,176080,US,100,US,M
2022,SE,FT,Security Engineer,120000,US,100,US,M
2022,SE,FT,Security Engineer,90000,US,100,US,M
2022,MI,FT,Security Analyst,60000,US,100,US,M
2022,MI,FT,Security Analyst,50000,US,100,US,M
2022,SE,FT,Security Engineer,276900,US,100,US,M
2022,SE,FT,Security Engineer,104400,US,100,US,M
2022,SE,FT,Security Engineer,192400,US,100,US,M
2022,SE,FT,Security Engineer,90700,US,100,US,M
2022,SE,FT,Security Engineer,210000,CA,100,CA,M
2022,SE,FT,Security Engineer,160000,CA,100,CA,M
2022,MI,FT,Security Engineer,208775,US,100,US,M
2022,MI,FT,Security Engineer,147800,US,100,US,M
2022,SE,FT,DevSecOps Engineer,157000,US,0,US,M
2022,SE,FT,DevSecOps Engineer,108000,US,0,US,M
2022,MI,FT,DevSecOps Engineer,152000,US,0,US,M
2022,MI,FT,DevSecOps Engineer,91000,US,0,US,M
2022,SE,FT,Security Engineer,200100,US,100,US,M
2022,SE,FT,Security Engineer,160080,US,100,US,M
2022,MI,FT,Cyber Security Analyst,111000,CH,50,CH,L
2022,MI,FT,Security Engineer,200000,US,100,US,L
2022,SE,FT,Information Security Manager,20873,IN,0,BR,L
2022,EN,FT,Security Consultant,58838,CA,100,CA,L
2022,EX,FT,Director of Information Security,220000,US,100,US,M
2022,EN,FT,Cyber Security Architect,150000,GH,100,US,M
2022,SE,FT,Principal Security Engineer,271600,US,100,US,L
2022,MI,FT,Security Consultant,122500,US,100,US,S
2022,MI,FT,Cyber Security Architect,129000,US,100,US,L
2022,SE,FT,Principal Security Engineer,260000,US,100,US,L
2022,SE,FT,Information Security Manager,145000,US,100,US,L
2022,SE,FT,Vulnerability Researcher,135000,ES,100,US,S
2022,EN,FT,Information Security Analyst,13678,BR,100,BR,L
2022,MI,FT,Cyber Threat Intelligence Analyst,126000,US,0,US,M
2022,MI,FT,Computer Forensic Software Engineer,122000,US,50,US,L
2022,EN,FT,Cyber Security Analyst,49257,DE,50,DE,S
2022,MI,FT,Security Operations Engineer,81194,FR,100,FR,L
2022,MI,FT,Incident Response Analyst,140000,US,100,US,L
2022,SE,FT,Cyber Security Architect,150000,US,100,US,L
2021,SE,FT,Security Researcher,172500,US,100,US,L
2022,MI,FT,Cyber Threat Intelligence Analyst,120000,US,50,US,L
2022,EX,FT,Application Security Analyst,259000,US,50,US,L
2022,SE,FT,Cyber Threat Intelligence Analyst,180000,US,50,US,L
2022,SE,FT,Information Security Manager,250000,US,100,US,L
2022,EN,FT,Cyber Threat Intelligence Analyst,105000,US,100,US,L
2022,SE,FT,IT Security Analyst,104000,US,100,US,M
2022,SE,FT,Security Researcher,192500,US,100,US,S
2022,EN,FT,Penetration Tester,5800,AZ,0,AZ,L
2022,MI,FT,Penetration Tester,38561,RO,0,RO,S
2021,SE,FT,Security Engineer,190000,US,0,US,L
2022,MI,FT,Cyber Security Engineer,100000,US,100,US,L
2022,EN,FT,Penetration Tester,10000,AR,100,ES,S
2022,SE,FT,Cloud Security Architect,224000,US,100,US,L
2022,SE,FT,Cyber Security Analyst,125000,US,100,US,L
2021,SE,FT,Cyber Threat Intelligence Analyst,120000,US,100,US,L
2022,MI,FT,Cyber Security Engineer,10000,DZ,50,DZ,M
2022,SE,FT,Application Security Engineer,45468,RO,100,RO,L
2022,SE,FT,Principal Security Engineer,215000,US,100,US,L
2022,MI,FT,Information Security Engineer,260000,US,100,US,L
2022,MI,FT,Information Security Engineer,45000,RO,100,RO,L
2022,SE,FT,Security Researcher,58624,BR,100,AQ,L
2021,EN,FT,Penetration Tester,50000,US,100,US,L
2022,SE,FT,Security Consultant,149000,US,100,US,M
2020,SE,FT,Security Engineer,107000,US,0,US,L
2022,SE,FT,Security Consultant,140000,US,100,US,M
2022,SE,FT,Security Engineer,182006,CA,100,US,L
2022,SE,FT,Information Security Manager,127000,US,100,US,L
2022,EN,FT,Application Security Analyst,50000,AF,100,AX,L
2022,MI,FT,Security Operations Engineer,18263,IN,100,IN,L
2022,MI,FT,Information Security Engineer,130000,US,100,US,S
2022,SE,FT,Information Security Manager,135000,US,0,US,L
2021,SE,FT,Information Security Manager,135000,US,0,US,L
2022,EX,FT,Information Security Architect,325000,US,100,US,L
2021,EN,FT,Security Researcher,100000,US,50,US,L
2022,SE,FT,Information Security Compliance Manager,150000,US,100,US,L
2022,MI,FT,Product Security Engineer,130000,US,100,US,M
2022,SE,FT,Incident Response Analyst,135000,US,100,US,M
2022,SE,FT,Incident Response Analyst,100000,US,100,US,M
2022,EN,FT,SOC Analyst,85000,US,0,US,L
2021,SE,FT,Information Security Analyst,180000,US,100,US,L
2022,SE,FT,Cyber Security Engineer,150000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,55000,US,0,US,M
2021,SE,FT,Incident Response Analyst,175000,US,100,US,M
2022,EN,FT,DevOps Security Engineer,70000,US,100,US,L
2021,EN,FT,Application Security Engineer,200000,US,100,US,L
2022,MI,FT,Cyber Security Engineer,410000,IN,100,IN,L
2022,MI,FT,Lead Security Engineer,76985,GB,100,GB,L
2022,MI,FT,Information Security Analyst,90000,US,100,US,L
2022,EX,FT,Incident Response Manager,201000,US,100,US,L
2022,SE,FT,Security Engineer,196000,US,100,US,L
2021,SE,FT,Security Researcher,137000,US,50,US,M
2022,MI,FT,Cyber Security Analyst,180000,US,100,US,L
2022,MI,FT,Application Security Engineer,250000,US,100,US,L
2021,SE,FT,Information Security Architect,128000,US,100,US,L
2022,SE,FT,Threat Intelligence Analyst,150000,US,100,US,L
2022,MI,FT,Security Engineer,150000,US,0,US,L
